frame,total_spots,mask_R-CNN_available,Human_count_available,rolling_window_of_6,remove_very_small_boxes,comment,True_Positive,False_Positive,True Negative,False Negative,Accuracy,Misclassification,Precision,Sensitivity_recall,Specificity
10,16,2,2,2,2,night,2,0,14,0,1.000,0.000,1.000,0.125,1.000
20,16,4,3,4,4,night,3,1,12,0,0.938,0.063,0.750,0.200,0.923
30,16,4,3,3,4,"black car, obscured",3,1,12,0,0.938,0.063,0.750,0.200,0.923
40,16,6,4,6,6,night,4,2,10,0,0.875,0.125,0.667,0.286,0.833
50,16,7,5,6,7,night,5,2,9,0,0.875,0.125,0.714,0.357,0.818
60,16,3,1,3,2,day,1,2,13,0,0.875,0.125,0.333,0.071,0.867
70,16,7,3,3,5,day,3,4,9,0,0.750,0.250,0.429,0.250,0.692
80,16,5,2,5,3,day,2,3,11,0,0.813,0.188,0.400,0.154,0.786
90,16,4,2,4,2,day,2,2,12,0,0.875,0.125,0.500,0.143,0.857
100,16,7,2,5,6,Bus obscured 3 spots,2,5,9,0,0.688,0.313,0.286,0.182,0.643
110,16,3,2,2,3,day,2,1,13,0,0.938,0.063,0.667,0.133,0.929
120,16,4,1,4,3,day,1,3,12,0,0.813,0.188,0.250,0.077,0.800
130,16,3,2,4,3,day,2,1,13,0,0.938,0.063,0.667,0.133,0.929
140,16,2,1,2,2,day,1,1,14,0,0.938,0.063,0.500,0.067,0.933
150,16,3,1,2,3,day,1,2,13,0,0.875,0.125,0.333,0.071,0.867
160,16,2,1,3,2,day,1,1,14,0,0.938,0.063,0.500,0.067,0.933
170,16,1,1,2,1,day,1,0,15,0,1.000,0.000,1.000,0.063,1.000
